日期,股票代码,成交量,换手率,RSI,MACD_DIF,MACD_DEA,MACD_HIST,KDJ_K,KDJ_D,KDJ_J,MACD信号,RSI信号,KDJ信号
2023-05-16,600519,22224,0.18,39.476960807946234,-8.19973810039869,-4.376728899706645,-3.823009200692045,26.871445368834653,21.56726734700608,37.479801412491796,死叉,中性,中性
2023-05-17,600519,16777,0.13,38.95002190549567,-8.593953697613188,-4.648807918926422,-3.945145778686766,33.60551697391556,27.91176433675696,44.99302224823276,死叉,中性,中性
2023-05-18,600519,19219,0.15,36.649462945788095,-9.80328622351135,-4.981354906318998,-4.821931317192352,17.289519644768138,25.92216066250613,0.024237609292157458,死叉,中性,超卖
2023-05-19,600519,26741,0.21,39.89892529188998,-8.580904799849122,-5.213583931708039,-3.367320868141084,31.0283104357587,27.30778235148081,38.46936660431449,死叉,中性,中性
2023-05-22,600519,41284,0.33,53.846151348494,-0.3486419142241175,-4.899716704773592,4.551074790549475,54.82988742338569,34.38257250130419,95.7245172675487,金叉,中性,超买
2023-05-23,600519,16894,0.13,48.28026568830877,0.9128131090999432,-4.52471478129788,5.437527890397823,77.35615931507225,54.40478572473889,123.25890649573894,金叉,中性,超买
2023-05-24,600519,18479,0.15,45.086409875834235,-0.5226243393353798,-4.266515397945461,3.743891058610081,73.36231020949134,68.51611898264977,83.05469266317448,金叉,中性,超买
2023-05-25,600519,22466,0.18,42.87127933585642,-2.7739160179162354,-4.170218663750027,1.3963026458337913,57.491112239715655,69.40319392142642,33.66694887629413,金叉,中性,中性
2023-05-26,600519,18291,0.15,40.60564375015797,-5.415595356662379,-4.250565547163727,-1.1650298094986526,40.69101156116631,57.18147800345778,7.710078676583393,死叉,中性,超卖
2023-05-29,600519,17771,0.14,40.26323796424617,-6.764657095574648,-4.412765001899915,-2.351892093674733,27.854235051879073,42.01211961758702,-0.46153407953681835,死叉,中性,超卖
2023-05-30,600519,26453,0.21,35.93142835570367,-10.228408523128337,-4.787967809721104,-5.4404407134072335,16.790734073372665,28.44532689547269,-6.518451570827381,死叉,中性,超卖
2023-05-31,600519,36957,0.29,29.443076231257436,-17.46600575493767,-5.6059057416705596,-11.86010001326711,11.120757685761674,18.588575603671142,-3.814878150057261,死叉,超卖,超卖
2023-06-01,600519,28645,0.23,31.806484884572278,-19.291603896231436,-6.4888540097067455,-12.80274988652469,12.082957178495393,13.331482979209916,9.585905577066349,死叉,中性,超卖
2023-06-02,600519,25058,0.2,42.120960614392615,-13.863651131104916,-6.964647372377596,-6.8990037587273205,29.433462499645525,17.545725787967537,53.2089359230015,死叉,中性,中性
2023-06-05,600519,16201,0.13,41.0414657868304,-10.911213190665876,-7.219264521944582,-3.6919486687212943,47.90929264423716,29.808570774126036,84.11073638445941,死叉,中性,超买
2023-06-06,600519,19914,0.16,41.61410354923526,-8.33799169644658,-7.291440468686646,-1.0465512277599336,65.78581650351963,47.709523882467444,101.93840174562398,死叉,中性,超买
2023-06-07,600519,17890,0.14,38.36918684869316,-8.866962293754568,-7.393087038045866,-1.4738752557087018,60.72645168460485,58.14052027745388,65.89831449890677,死叉,中性,中性
2023-06-08,600519,14703,0.12,43.418819261466176,-6.0271909653920375,-7.3049647107778775,1.27777374538584,63.55528663118985,63.355851606438115,63.954156680693316,金叉,中性,中性
2023-06-09,600519,17580,0.14,42.97531327440294,-4.415970788382538,-7.11857800610721,2.7026072177246725,54.499136898569525,59.593625071454746,44.310160552799076,金叉,中性,中性
2023-06-12,600519,27029,0.22,51.05198617096342,1.2759657195852014,-6.576994539933506,7.852960259518707,64.31975689160326,60.79139347378756,71.37648372723466,金叉,中性,中性
2023-06-13,600519,14663,0.12,51.787371696228604,4.757872559107909,-5.845712791608253,10.603585350716163,70.28397565922923,63.03428981646734,84.78334734475301,金叉,中性,超买
2023-06-14,600519,31506,0.25,58.08914431865945,10.592980983143889,-4.785151902914567,15.378132886058456,85.01837470199956,73.20736908427735,108.640385937444,金叉,中性,超买
2023-06-15,600519,25223,0.2,63.29964457906575,17.394374609397346,-3.354214708571863,20.74858931796921,91.6847483036827,82.32903288830381,110.39617913444047,金叉,中性,超买
2023-06-16,600519,37918,0.3,69.4991893201172,26.518202974662927,-1.42696195481478,27.945164929477706,96.30112512393809,91.00141604320679,106.90054328540069,金叉,中性,超买
2023-06-19,600519,31700,0.25,56.558938096317526,21.752824326949394,0.06850812787968268,21.684316199069713,82.98190084672616,90.32259142478232,68.30051969061387,金叉,中性,中性
2023-06-20,600519,20947,0.17,56.44510349731034,17.753355711411814,1.209466036494659,16.543889674917153,63.11754152737836,80.8001891660142,27.75224625010665,金叉,中性,中性
2023-06-21,600519,17721,0.14,54.7677919807475,13.33980581739661,1.9920686030044623,11.347737214392147,35.8943577210056,60.66460003170337,-13.646126900389959,金叉,中性,超卖
2023-06-26,600519,23993,0.19,49.22814895977625,6.058790371121859,2.254437749334617,3.804352621787242,23.23735289008772,40.74975071282389,-11.787442755384617,金叉,中性,超卖
2023-06-27,600519,15174,0.12,49.647229782296485,2.0307340446008766,2.240005252255021,-0.2092712076541443,15.195254424491893,24.775655011861733,-3.965546750247789,死叉,中性,超卖
2023-06-28,600519,18574,0.15,53.166561625307764,2.3362951971289476,2.246217506763016,0.0900776903659315,25.53637996561741,21.32299576006567,33.96314837672089,金叉,中性,中性
2023-06-29,600519,14231,0.11,49.98188241204652,0.13864399565159147,2.110245022175182,-1.9716010265235906,31.216394395631877,23.982676261913724,45.68383066306818,死叉,中性,中性
